#Average black hole accretion rate (BHAR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR)@log(Mpeak)=12 log10(BHAR)_16@log(Mpeak)=12 log10(BHAR)_84@log(Mpeak)=12 log10(BHAR)@log(Mpeak)=13 log10(BHAR)_16@log(Mpeak)=13 log10(BHAR)_84@log(Mpeak)=13 log10(BHAR)@log(Mpeak)=14 log10(BHAR)_16@log(Mpeak)=14 log10(BHAR)_84@log(Mpeak)=14 log10(BHAR)@log(Mpeak)=15 log10(BHAR)_16@log(Mpeak)=15 log10(BHAR)_84@log(Mpeak)=15
6.840127 -9.870293 -10.563697 -9.460292 -7.498906 -8.034382 -7.186582 -5.511139 -5.919177 -5.281329 -3.780462 -4.075114 -3.611151
6.821452 -9.830769 -10.518474 -9.423310 -7.462846 -7.993952 -7.152573 -5.477983 -5.882942 -5.250312 -3.750112 -4.041795 -3.582526
6.802822 -9.791246 -10.473251 -9.386329 -7.426786 -7.953522 -7.118565 -5.444827 -5.846706 -5.219294 -3.719761 -4.008475 -3.553900
6.784236 -9.751722 -10.428029 -9.349348 -7.390726 -7.913092 -7.084556 -5.411672 -5.810470 -5.188277 -3.689410 -3.975156 -3.525274
6.765694 -9.712198 -10.382806 -9.312367 -7.354666 -7.872663 -7.050548 -5.378516 -5.774235 -5.157259 -3.659059 -3.941837 -3.496648
6.747197 -9.672674 -10.337584 -9.275385 -7.318606 -7.832233 -7.016539 -5.345360 -5.737999 -5.126242 -3.628709 -3.908518 -3.468023
6.728743 -9.633150 -10.292361 -9.238404 -7.282546 -7.791803 -6.982531 -5.312204 -5.701764 -5.095224 -3.598358 -3.875198 -3.439397
6.710334 -9.595111 -10.248798 -9.202705 -7.247738 -7.752821 -6.949704 -5.280127 -5.666629 -5.065047 -3.568900 -3.842898 -3.411525
6.691968 -9.557332 -10.205527 -9.167231 -7.213150 -7.714092 -6.917084 -5.248239 -5.631686 -5.035017 -3.539599 -3.810776 -3.383785
6.673646 -9.519554 -10.162255 -9.131757 -7.178561 -7.675363 -6.884465 -5.216351 -5.596744 -5.004988 -3.510298 -3.778654 -3.356045
